name,sixth_median,sixth_stddev,gcc_median,gcc_stddev,ratio,result
matmul64,-1,-1,-1,-1,-1,output-fail
matmul,-1,-1,-1,-1,-1,output-fail
maze,-1,-1,-1,-1,-1,sixth-fail
median3,-1,-1,-1,-1,-1,output-fail
mem,-1,-1,-1,-1,-1,sixth-fail
merge2,-1,-1,-1,-1,-1,output-fail
mergesort,-1,-1,-1,-1,-1,sixth-fail
millerrabin,-1,-1,-1,-1,-1,output-fail
minmax,-1,-1,-1,-1,-1,sixth-fail
modexp,-1,-1,-1,-1,-1,output-fail
mutrec2,-1,-1,-1,-1,-1,output-fail
mutrec3,-1,-1,-1,-1,-1,output-fail
mutrec4,-1,-1,-1,-1,-1,output-fail
narcissistic,-1,-1,-1,-1,-1,output-fail
nested,-1,-1,-1,-1,-1,output-fail
nestedj1,-1,-1,-1,-1,-1,output-fail
nestedj2,-1,-1,-1,-1,-1,output-fail
nextprime,-1,-1,-1,-1,-1,output-fail
npuzzle,-1,-1,-1,-1,-1,output-fail
over2,-1,-1,-1,-1,-1,output-fail
over3,-1,-1,-1,-1,-1,output-fail
over4,-1,-1,-1,-1,-1,output-fail
palindrome,-1,-1,-1,-1,-1,output-fail
partition,-1,-1,-1,-1,-1,output-fail
partition-pivot,-1,-1,-1,-1,-1,sixth-fail
pascal,-1,-1,-1,-1,-1,sixth-fail
peephole1,-1,-1,-1,-1,-1,output-fail
peephole2,-1,-1,-1,-1,-1,output-fail
pell,-1,-1,-1,-1,-1,output-fail
perfect,-1,-1,-1,-1,-1,sixth-fail
permute,-1,-1,-1,-1,-1,output-fail
pick0,-1,-1,-1,-1,-1,output-fail
pick1,-1,-1,-1,-1,-1,output-fail
pick2,-1,-1,-1,-1,-1,output-fail
pick3,-1,-1,-1,-1,-1,output-fail
pick4,-1,-1,-1,-1,-1,output-fail
pick5,-1,-1,-1,-1,-1,output-fail
ploop1,-1,-1,-1,-1,-1,output-fail
ploop2,-1,-1,-1,-1,-1,output-fail
ploop3,-1,-1,-1,-1,-1,output-fail
ploop4,-1,-1,-1,-1,-1,output-fail
ploop5,-1,-1,-1,-1,-1,output-fail
ploop,-1,-1,-1,-1,-1,output-fail
pollardrho,-1,-1,-1,-1,-1,output-fail
polyeval,-1,-1,-1,-1,-1,sixth-fail
popcount,-1,-1,-1,-1,-1,output-fail
power,-1,-1,-1,-1,-1,output-fail
primes,-1,-1,-1,-1,-1,output-fail
prim,-1,-1,-1,-1,-1,sixth-fail
queens10,-1,-1,-1,-1,-1,output-fail
queens,-1,-1,-1,-1,-1,output-fail
quicksort,-1,-1,-1,-1,-1,sixth-fail
rabinkarp,-1,-1,-1,-1,-1,output-fail
radixsort,-1,-1,-1,-1,-1,sixth-fail
rec1000,-1,-1,-1,-1,-1,output-fail
rec100,-1,-1,-1,-1,-1,output-fail
rec10,-1,-1,-1,-1,-1,output-fail
rec5000,-1,-1,-1,-1,-1,output-fail
regalloc1,-1,-1,-1,-1,-1,output-fail
regalloc2,-1,-1,-1,-1,-1,output-fail
reverse,-1,-1,-1,-1,-1,output-fail
roman,-1,-1,-1,-1,-1,output-fail
rot3,-1,-1,-1,-1,-1,output-fail
rot4,-1,-1,-1,-1,-1,output-fail
rot5,-1,-1,-1,-1,-1,output-fail
rstack,-1,-1,-1,-1,-1,output-fail
schedule1,-1,-1,-1,-1,-1,output-fail
selectionsort,-1,-1,-1,-1,-1,sixth-fail
selectnth,-1,-1,-1,-1,-1,sixth-fail
shellsort,-1,-1,-1,-1,-1,output-fail
shift,-1,-1,-1,-1,-1,output-fail
sieve1m,-1,-1,-1,-1,-1,output-fail
simd1,-1,-1,-1,-1,-1,output-fail
simd2,-1,-1,-1,-1,-1,output-fail
simd3,-1,-1,-1,-1,-1,output-fail
simd4,-1,-1,-1,-1,-1,output-fail
spillreload,-1,-1,-1,-1,-1,output-fail
stack,-1,-1,-1,-1,-1,output-fail
strcat,-1,-1,-1,-1,-1,output-fail
strchr,-1,-1,-1,-1,-1,output-fail
strcmp,-1,-1,-1,-1,-1,output-fail
strength1,-1,-1,-1,-1,-1,output-fail
strength2,-1,-1,-1,-1,-1,output-fail
string,-1,-1,-1,-1,-1,output-fail
strlen,-1,-1,-1,-1,-1,output-fail
strrev,-1,-1,-1,-1,-1,output-fail
strstr,-1,-1,-1,-1,-1,output-fail
sudoku,-1,-1,-1,-1,-1,output-fail
sum35,-1,-1,-1,-1,-1,output-fail
sumdivisors,-1,-1,-1,-1,-1,output-fail
swap2,-1,-1,-1,-1,-1,output-fail
swap3,-1,-1,-1,-1,-1,output-fail
tailcall1,-1,-1,-1,-1,-1,output-fail
tailcall2,-1,-1,-1,-1,-1,output-fail
tailrec,-1,-1,-1,-1,-1,output-fail
tak,-1,-1,-1,-1,-1,output-fail
tarjan,-1,-1,-1,-1,-1,sixth-fail
textwrap,-1,-1,-1,-1,-1,output-fail
toposort,-1,-1,-1,-1,-1,sixth-fail
totient,-1,-1,-1,-1,-1,output-fail
treebuild,-1,-1,-1,-1,-1,output-fail
treecount,-1,-1,-1,-1,-1,output-fail
treedepth,-1,-1,-1,-1,-1,output-fail
treeheight,-1,-1,-1,-1,-1,sixth-fail
treewalk,-1,-1,-1,-1,-1,sixth-fail
tribonacci,-1,-1,-1,-1,-1,output-fail
unionfind,-1,-1,-1,-1,-1,sixth-fail
unroll2,-1,-1,-1,-1,-1,output-fail
unroll4,-1,-1,-1,-1,-1,output-fail
unroll8,-1,-1,-1,-1,-1,output-fail
unrollable1,-1,-1,-1,-1,-1,output-fail
unrollable2,-1,-1,-1,-1,-1,output-fail
untilloop1,-1,-1,-1,-1,-1,output-fail
untilloop2,-1,-1,-1,-1,-1,output-fail
untilloop3,-1,-1,-1,-1,-1,output-fail
whileloop1,-1,-1,-1,-1,-1,output-fail
whileloop2,-1,-1,-1,-1,-1,output-fail
whileloop3,-1,-1,-1,-1,-1,output-fail
wordcount,-1,-1,-1,-1,-1,output-fail
xorsum,-1,-1,-1,-1,-1,output-fail
